country,country code,index score
Luxembourg,LUX,220.1
Netherlands,NLD,211.3
Denmark,DNK,209.9
Switzerland,CHE,205
Finland,FIN,203.8
Iceland,ISL,202
Norway,NOR,195
Sweden,SWE,193.2
Austria,AUT,192.9
Germany,DEU,190.2
Estonia,EST,185.7
Spain,ESP,184.4
Slovenia,SVN,179.3
Czechia,CZE,174.8
Croatia,HRV,174.6
United Kingdom,GBR,174.5
Lithuania,LTU,173
Belgium,BEL,169.3
Portugal,PRT,167.8
Ireland,IRL,166.5
France,FRA,166.3
Latvia,LVA,164.7
Slovakia,SVK,157.6
Poland,POL,153.9
Italy,ITA,151
Hungary,HUN,144.6
Bulgaria,BGR,143.8
Romania,ROU,142.2
Greece,GRC,138.1
Bosnia and Herzegovina,BIH,134.8
Malta,MLT,132.7
Belarus,BLR,127.5
Serbia,SRB,124.8
North Macedonia,MKD,120.3
Russia,RUS,116.6
Ukraine,UKR,115
Albania,ALB,104.3