snapshot_date,Open,Close
2025-04-22,"11,365.00","11,585.00"
2025-04-17,"11,230.00","11,360.00"
2025-04-16,"11,400.00","11,390.00"
2025-04-15,"11,105.00","11,390.00"
2025-04-14,"11,350.00","11,075.00"
2025-04-11,"11,275.00","11,165.00"
2025-04-10,"11,065.00","11,200.00"
2025-04-09,"10,635.00","10,660.00"
2025-04-08,"10,410.00","10,875.00"
2025-04-07,"10,810.00","10,325.00"
2025-04-04,"11,795.00","11,145.00"
2025-04-03,"11,490.00","11,815.00"
2025-04-02,"11,645.00","11,725.00"
2025-04-01,"11,480.00","11,590.00"
2025-03-31,"11,470.00","11,460.00"
2025-03-28,"11,325.00","11,530.00"
2025-03-27,"11,205.00","11,320.00"
2025-03-26,"11,190.00","11,225.00"
2025-03-25,"11,205.00","11,185.00"
2025-03-24,"11,280.00","11,220.00"
2025-03-21,"11,200.00","11,235.00"
2025-03-20,"10,955.00","11,250.00"
2025-03-19,"10,825.00","10,950.00"
2025-03-18,"11,005.00","10,875.00"
2025-03-17,"11,015.00","10,980.00"
2025-03-14,"11,100.00","10,985.00"
2025-03-13,"11,175.00","11,085.00"
2025-03-12,"11,000.00","11,215.00"
2025-03-11,"11,150.00","11,055.00"
2025-03-10,"10,810.00","10,695.00"
2025-03-07,"10,800.00","10,830.00"
2025-03-06,"11,415.00","10,910.00"
2025-03-05,"11,525.00","11,380.00"
2025-03-04,"11,690.00","11,625.00"
2025-03-03,"11,890.00","11,750.00"
2025-02-28,"11,795.00","11,845.00"
2025-02-27,"11,390.00","11,775.00"
2025-02-26,"11,145.00","11,100.00"
2025-02-25,"11,305.00","11,140.00"
2025-02-24,"11,560.00","11,300.00"
2025-02-21,"11,685.00","11,585.00"
2025-02-20,"11,755.00","11,700.00"
2025-02-19,"11,660.00","11,705.00"
2025-02-18,"11,720.00","11,690.00"
2025-02-17,"11,755.00","11,725.00"
2025-02-14,"11,735.00","11,690.00"
2025-02-13,"11,805.00","11,655.00"
2025-02-12,"11,795.00","11,735.00"
2025-02-11,"11,695.00","11,685.00"
2025-02-10,"11,730.00","11,685.00"
2025-02-07,"11,710.00","11,725.00"
2025-02-06,"12,130.00","11,760.00"
2025-02-05,"11,935.00","12,095.00"
2025-02-04,"11,895.00","12,005.00"
2025-02-03,"11,845.00","11,900.00"
2025-01-31,"12,010.00","12,035.00"
2025-01-30,"11,890.00","12,045.00"
2025-01-29,"11,735.00","11,825.00"
2025-01-28,"11,695.00","11,695.00"
2025-01-27,"11,650.00","11,690.00"
2025-01-24,"11,920.00","11,775.00"
2025-01-23,"11,980.00","11,920.00"
2025-01-22,"11,825.00","11,960.00"
2025-01-21,"11,745.00","11,800.00"
2025-01-20,"11,785.00","11,700.00"
2025-01-17,"11,860.00","11,770.00"
2025-01-16,"11,675.00","11,790.00"
2025-01-15,"11,590.00","11,610.00"
2025-01-14,"11,620.00","11,605.00"
2025-01-13,"11,605.00","11,570.00"
2025-01-10,"11,855.00","11,675.00"
2025-01-09,"11,605.00","11,865.00"
2025-01-08,"11,700.00","11,615.00"
2025-01-07,"11,335.00","11,425.00"
2025-01-06,"11,435.00","11,320.00"
2025-01-03,"11,495.00","11,420.00"
2025-01-02,"11,300.00","11,470.00"